	2844
2014_WESTERN	1
2015_	3
2015_ACTION	10
2015_ADVENTURE	13
2015_ANIMATION	6
2015_BIOGRAPHY	15
2015_COMEDY	29
2015_CRIME	6
2015_DOCUMENTARY	46
2015_DRAMA	47
2015_FAMILY	7
2015_FANTASY	5
2015_HISTORY	11
2015_HORROR	3
2015_MUSIC	8
2015_MYSTERY	2
2015_NEWS	4
2015_ROMANCE	8
2015_SCI-FI	8
2015_SHORT	4
2015_THRILLER	8
2015_WAR	2
AFGHANISTAN	815
ALBANIA	646
ALGERIA	2115
AMERICAN SAMOA	87
ANGOLA	357
ARGENTINA	28127
ARMENIA	264
ARUBA	739
AUSTRALIA	64912
AUSTRIA	22628
BAHAMAS	470
BAHRAIN	87
BANGLADESH	429
BARBADOS	92
BELARUS	427
BELGIUM	53627
BERMUDA	95
BHUTAN	291
BOLIVIA	710
BOSNIA AND HERZEGOVINA	2207
BOTSWANA	295
BRAZIL	26962
BULGARIA	5430
BURKINA FASO	903
BURMA	95
CAMBODIA	894
CAMEROON	615
CANADA	206866
CHAD	493
CHILE	6077
CHINA	41002
COLOMBIA	3810
CONGO	88
COSTA RICA	431
CROATIA	4260
CUBA	2790
CYPRUS	948
CZECH REPUBLIC	15215
CZECHOSLOVAKIA	8434
C�TE D'IVOIRE	180
DENMARK	43935
DOMINICAN REPUBLIC	866
EAST GERMANY	2095
ECUADOR	768
EGYPT	2985
EL SALVADOR	167
ESTONIA	4552
ETHIOPIA	537
FAROE ISLANDS	97
FEDERAL REPUBLIC OF YUGOSLAVIA	2167
FINLAND	48430
FRANCE	464143
GABON	80
GEORGIA	1846
GERMANY	225090
GHANA	655
GREECE	20054
GREENLAND	90
GRENADA	79
GUATEMALA	638
GUINEA	90
HAITI	498
HONDURAS	80
HONG KONG	66192
HUNGARY	19668
ICELAND	7614
INDIA	109179
INDONESIA	3826
IRAN	11762
IRAQ	1365
IRELAND	26408
ISLE OF MAN	396
ISRAEL	16227
ITALY	287219
JAMAICA	807
JAPAN	177320
JORDAN	1313
KAZAKHSTAN	2040
KENYA	523
KOSOVO	188
KUWAIT	273
KYRGYZSTAN	400
LAOS	194
LATVIA	2297
LEBANON	1102
LIBERIA	270
LIBYA	520
LIECHTENSTEIN	1011
LITHUANIA	3772
LUXEMBOURG	11761
MACAO	175
MADAGASCAR	204
MALAYSIA	1338
MALI	220
MALTA	885
MARTINIQUE	103
MAURITANIA	405
MEXICO	35198
MICRONESIA	85
MONACO	189
MONGOLIA	186
MONTENEGRO	439
MOROCCO	4525
NAMIBIA	105
NEPAL	707
NETHERLANDS	46726
NEW ZEALAND	14391
NICARAGUA	183
NIGERIA	494
NORTH KOREA	433
NORWAY	26156
PAKISTAN	1600
PALESTINE	1530
PANAMA	903
PAPUA NEW GUINEA	295
PARAGUAY	317
PERU	2349
PHILIPPINES	7659
POLAND	35009
PORTUGAL	15129
PUERTO RICO	1212
QATAR	929
REPUBLIC OF MACEDONIA	1515
REUNION	38
ROMANIA	15739
RUSSIA	50108
RWANDA	527
SAMOA	110
SAUDI ARABIA	490
SENEGAL	1462
SERBIA	4144
SERBIA AND MONTENEGRO	1314
SINGAPORE	4442
SLOVAKIA	2498
SLOVENIA	2871
SOMALIA	90
SOUTH AFRICA	14478
SOUTH KOREA	55601
SOVIET UNION	51241
SPAIN	115539
SRI LANKA	318
SWEDEN	68107
SWITZERLAND	33914
SYRIA	367
TAIWAN	16618
